Schools
Abbottston Elementary School
Academy for College and Career Exploration
Achievement Academy at Harbor City High School
Afya Public Charter School
Alexander Hamilton Elementary School
Angela Y. Davis Leadership Academy
Arlington Elementary School
Armistead Gardens Elementary/Middle School
Arundel Elementary School
Augusta Fells Savage Institute of Visual Arts
Baltimore City College
Baltimore Collegiate School for Boys
Baltimore Design School
Baltimore International Academy
Baltimore International Academy West
Baltimore Leadership School for Young Women
Baltimore Montessori Public Charter School
Baltimore Polytechnic Institute
Baltimore School for the Arts
Barclay Elementary/Middle School
Bard High School Early College Baltimore
Bay-Brook Elementary/Middle School
Beechfield Elementary/Middle School
"Belair-Edison School, The"
Belmont Elementary School
Benjamin Franklin High School at Masonville Cove
Bluford Drew Jemison STEM Academy West
Booker T. Washington Middle School
Callaway Elementary School
Calverton Elementary/Middle School
Calvin M. Rodwell Elementary/Middle School
Career Academy
Carver Vocational-Technical High School
Cecil Elementary School
Charles Carroll Barrister Elementary School
City Neighbors Charter School
City Neighbors Hamilton
City Neighbors High School
City Springs Elementary/Middle School
Claremont School
Collington Square Elementary/Middle School
Commodore John Rodgers Elementary/Middle School
ConneXions: A Community Based Arts School
Coppin Academy
Creative City Public Charter School
Cross Country Elementary/Middle School
"Crossroads School, The"
Curtis Bay Elementary School
"Dallas F. Nicholas, Sr., Elementary School"
Dickey Hill Elementary/Middle School
Digital Harbor High School
Dorothy I. Height Elementary School 
"Dr. Bernard Harris, Sr., Elementary School"
Dr. Nathan A. Pitts-Ashburton Elementary/Middle School
Eager Street Academy
Edgecombe Circle Elementary School
Edgewood Elementary School
Edmondson-Westside High School
Elementary/Middle Alternative Program
Elmer A. Henderson: A Johns Hopkins Partnership School
Empowerment Academy
Eutaw-Marshburn Elementary School
Excel Academy at Francis M. Wood High School
Fallstaff Elementary/Middle School
Federal Hill Preparatory Academy
Forest Park High School
Fort Worthington Elementary/Middle School
Francis Scott Key Elementary/Middle School
Franklin Square Elementary/Middle School
Frederick Douglass High School
Frederick Elementary School
Furley Elementary School
Furman Templeton Preparatory Academy
Gardenville Elementary School
Garrett Heights Elementary/Middle School
George W.F. McMechen High School
George Washington Elementary School
Glenmount Elementary/Middle School
Govans Elementary School
Graceland Park/O&#039;Donnell Heights Elementary/Middle School
"Green School of Baltimore, The"
Green Street Academy
Guilford Elementary/Middle School
Gwynns Falls Elementary School
Hamilton Elementary/Middle School
Hampden Elementary/Middle School
Hampstead Hill Academy
Harford Heights Elementary School
Harlem Park Elementary/Middle School
Hazelwood Elementary/Middle School
Highlandtown Elementary/Middle School No. 215
Highlandtown Elementary/Middle School No. 237
Hilton Elementary School
"Historic Samuel Coleridge-Taylor Elementary School, The"
Holabird Academy
Home and Hospital Program
Independence School Local I High School
James McHenry Elementary/Middle School
James Mosher Elementary School
John Ruhrah Elementary/Middle School
Johnston Square Elementary School
Joseph C. Briscoe Academy 
KIPP Harmony Academy
Lakeland Elementary/Middle School
Lakewood Elementary School
Leith Walk Elementary/Middle School
Liberty Elementary School
Lillie May Carroll Jackson School
Lockerman Bundy Elementary School
Lois T. Murray Elementary/Middle School
Maree G. Farring Elementary/Middle School
Margaret Brent Elementary/Middle School
Mary Ann Winterling Elementary School at Bentalou
Mary E. Rodman Elementary School
Matthew A. Henson Elementary School
Medfield Heights Elementary School
Mergenthaler Vocational-Technical High School
Midtown Academy
Montebello Elementary/Middle School
Moravia Park Elementary School
Morrell Park Elementary/Middle School
Mount Royal Elementary/Middle School
National Academy Foundation
New Era Academy
New Song Academy
North Bend Elementary/Middle School
Northwood Elementary School
P-TECH at Carver Vocational-Technical High
P-TECH at New Era Academy
P-TECH at Paul Laurence Dunbar High
Patterson High School
Patterson Park Public Charter School
Paul Laurence Dunbar High School
Pimlico Elementary/Middle School
"Reach! Partnership School, The"
Reginald F. Lewis High School
Renaissance Academy
Robert W. Coleman Elementary School
Roland Park Elementary/Middle School
Rosemont Elementary/Middle School
Sandtown-Winchester Achievement Academy
Sharp-Leadenhall Elementary School
Sinclair Lane Elementary School
Southwest Baltimore Charter School
Stadium School
Steuart Hill Academic Academy
Success Academy
Tench Tilghman Elementary/Middle School
The Historic Cherry Hill Elementary/Middle School
The Mount Washington School
Thomas Jefferson Elementary/Middle School
Thomas Johnson Elementary/Middle School
Tunbridge Public Charter School
Vanguard Collegiate Middle School
Violetville Elementary/Middle School
Vivien T. Thomas Medical Arts Academy
Walter P. Carter Elementary/Middle School
Waverly Elementary/Middle School
Western High School
Westport Academy
Wildwood Elementary/Middle School
William Paca Elementary School
William S. Baer School
Windsor Hills Elementary/Middle School
Wolfe Street Academy
Woodhome Elementary/Middle School
Yorkwood Elementary School
Youth Opportunity
